{'bisim_weight': 10, 'model_epoch': 5, 'final_success_rate': 0.8, 'total_steps': 30, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc/plan_outputs/20250527184414_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 10, 'model_epoch': 10, 'final_success_rate': 0.6, 'total_steps': 30, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc/plan_outputs/20250527185708_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 10, 'model_epoch': 15, 'final_success_rate': 0.8, 'total_steps': 30, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc/plan_outputs/20250527191000_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 10, 'model_epoch': 20, 'final_success_rate': 0.6, 'total_steps': 30, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc/plan_outputs/20250527192252_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 10, 'model_epoch': 25, 'final_success_rate': 0.8, 'total_steps': 30, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc/plan_outputs/20250527193544_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 10, 'model_epoch': 30, 'final_success_rate': 0.8, 'total_steps': 30, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc/plan_outputs/20250527194836_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 10, 'model_epoch': 35, 'final_success_rate': 0.8, 'total_steps': 30, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc/plan_outputs/20250527200128_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 10, 'model_epoch': 40, 'final_success_rate': 0.8, 'total_steps': 30, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc/plan_outputs/20250527201421_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 10, 'model_epoch': 45, 'final_success_rate': 0.8, 'total_steps': 30, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc/plan_outputs/20250527202715_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 10, 'model_epoch': 50, 'final_success_rate': 0.8, 'total_steps': 30, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc/plan_outputs/20250527204007_mod1_bisim_1024_coef_1_gH5/logs.json'}
