{'bisim_weight': 9, 'model_epoch': 35, 'final_success_rate': 1.0, 'total_steps': 25, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc/plan_outputs/20250526071856_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 9, 'model_epoch': 40, 'final_success_rate': 1.0, 'total_steps': 9, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc/plan_outputs/20250526072943_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 9, 'model_epoch': 45, 'final_success_rate': 1.0, 'total_steps': 9, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc/plan_outputs/20250526073351_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 9, 'model_epoch': 50, 'final_success_rate': 1.0, 'total_steps': 11, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc/plan_outputs/20250526073754_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 10, 'model_epoch': 5, 'final_success_rate': 0.6, 'total_steps': 30, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc/plan_outputs/20250526074247_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 10, 'model_epoch': 10, 'final_success_rate': 1.0, 'total_steps': 10, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc/plan_outputs/20250526075541_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 10, 'model_epoch': 15, 'final_success_rate': 1.0, 'total_steps': 11, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc/plan_outputs/20250526080016_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 10, 'model_epoch': 20, 'final_success_rate': 1.0, 'total_steps': 3, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc/plan_outputs/20250526080514_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 10, 'model_epoch': 25, 'final_success_rate': 1.0, 'total_steps': 8, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc/plan_outputs/20250526080652_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 10, 'model_epoch': 30, 'final_success_rate': 1.0, 'total_steps': 7, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc/plan_outputs/20250526081036_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 10, 'model_epoch': 35, 'final_success_rate': 0.8, 'total_steps': 30, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc/plan_outputs/20250526081349_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 10, 'model_epoch': 40, 'final_success_rate': 1.0, 'total_steps': 16, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc/plan_outputs/20250526082641_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 10, 'model_epoch': 45, 'final_success_rate': 1.0, 'total_steps': 11, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc/plan_outputs/20250526083343_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 10, 'model_epoch': 50, 'final_success_rate': 1.0, 'total_steps': 12, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc/plan_outputs/20250526083839_mod1_bisim_1024_coef_1_gH5/logs.json'}
